runnum	runtype	DLS
5000	35	1
4999	35	1
4998	35	1
4997	35	1
4996	35	1
4995	35	1
4994	34	1
4993	35	1
4992	35	1
4991	35	1
4990	40	1
4989	40	1
4988	40	1
4987	40	1
4986	40	1
4985	40	1
4984	40	1
4983	40	1
4982	40	1
4981	40	1
4980	40	1
4979	40	1
4978	37	1
4977	37	1
4976	37	1
4975	37	1
4974	37	1
4973	37	1
4972	37	1
4971	37	1
4970	37	1
4969	37	1
4968	37	1
4967	37	1
4966	37	1
4965	34	1
4964	40	1
4963	40	1
4962	40	1
4961	37	1
4960	34	1
4959	37	1
4958	34	1
4957	34	1
4956	34	1
4955	34	1
4954	34	1
4953	37	1
4952	35	1
4951	35	1
4950	37	1
4949	34	1
4948	39	1
4947	34	1
4946	37	1
4945	39	1
4944	34	1
4943	34	1
4942	34	1
4941	39	1
4940	39	1
4939	34	1
4938	34	1
4937	34	1
4936	34	1
4935	34	1
4934	34	1
4933	34	1
4932	34	1
4931	37	1
4930	34	1
4929	34	1
4928	34	1
4927	37	1
4926	35	1
4925	35	1
4924	34	1
4923	34	1
4922	34	1
4921	34	1
4920	34	1
4919	34	1
4918	37	1
4917	34	1
4916	37	1
4915	34	1
4914	37	1
4913	34	1
4912	37	1
4911	34	1
4910	37	1
4909	34	1
4908	37	1
4907	34	1
4906	34	1
4905	37	1
4904	34	1
4903	37	1
4902	34	1
4901	34	1
4900	34	1
4899	34	1
4898	34	1
4897	34	1
4896	34	1
4895	34	1
4894	39	1
4893	37	1
4892	34	1
4891	35	1
4890	34	1
4889	34	1
4888	34	1
4887	34	1
4886	40	1
4885	40	1
4884	40	1
4883	34	1
4882	34	1
4881	34	1
4880	34	1
4879	34	1
4878	37	1
4877	34	1
4876	34	1
4875	37	1
4874	34	1
4873	35	1
4872	35	1
4871	37	1
4870	34	1
4869	34	1
4868	34	1
4867	34	1
4866	34	1
4865	34	1
4864	34	1
4863	34	1
4862	34	1
4861	34	1
4860	34	1
4859	34	1
4858	34	1
4857	34	1
4856	34	1
4855	39	1
4854	39	1
4853	40	1
4852	34	1
4851	34	1
4850	34	1
4849	34	1
4848	34	1
4847	34	1
4846	39	1
4846	39	1
4845	39	1
4844	39	1
4843	34	1
4842	40	1
4841	40	1
4840	34	1
4839	34	1
4838	37	1
4837	35	1
4836	35	1
4835	34	1
4834	37	1
4833	37	1
4832	34	1
4831	34	1
4830	37	1
4829	35	1
4828	35	1
4827	37	1
4826	34	1
4825	34	1
4824	34	1
4823	34	1
4822	34	1
4821	34	1
4820	37	1
4819	37	1
4818	34	1
4817	40	1
4816	40	1
4815	34	1
4814	37	1
4813	35	1
4812	35	1
4811	37	1
4810	34	1
4809	34	1
4808	34	1
4807	34	1
4806	34	1
4805	34	1
4804	34	1
4803	35	1
4802	34	1
4801	40	1
4800	40	1
4799	40	1
4798	40	1
4797	40	1
4796	34	1
4795	34	1
4794	34	1
4793	37	1
4792	35	1
4791	35	1
4790	34	1
4789	34	1
4788	34	1
4787	37	1
4786	34	1
4785	34	1
4784	34	1
4783	34	1
4782	37	1
4781	34	1
4781	34	1
4780	34	1
4779	34	1
4778	34	1
4777	37	1
4776	34	1
4775	37	1
4774	34	1
4773	35	1
4772	35	1
4771	34	1
4770	34	1
4769	35	1
4768	35	1
4767	34	1
4766	34	1
4765	34	1
4764	34	1
4763	34	1
4762	37	1
4761	35	1
4760	35	1
4759	40	1
4758	40	-9999
4757	37	0
4756	35	0
4755	35	0
4754	40	0
4753	40	0
4752	40	0
4751	40	0
4750	40	0
4749	40	0
4748	40	0
4747	40	0
4746	40	0
4745	40	0
4744	40	0
4743	40	0
4742	40	0
4741	40	0
4740	40	0
4739	40	0
4738	40	0
4737	39	0
4736	39	0
4735	39	0
4734	40	0
4733	40	0
4732	39	0
4731	39	0
4730	39	0
4729	39	0
4728	39	0
4727	37	0
4726	37	0
4725	34	0
4724	37	0
4723	35	0
4722	35	0
4721	37	0
4720	37	0
4719	35	0
4718	35	0
4717	37	0
4716	37	0
4715	37	0
4714	37	0
4713	37	0
4712	37	0
4711	35	0
4710	35	0
4709	37	0
4708	42	0
4707	42	0
4706	37	0
4705	37	0
4704	37	0
4703	35	0
4702	35	0
4701	37	0
4700	40	0
4699	40	0
4698	40	0
4697	40	0
4697	40	0
4696	40	0
4695	40	0
4694	40	0
4693	40	0
4692	40	0
4691	40	0
4690	40	-9999
4689	40	1
4688	37	1
4687	42	1
4686	42	1
4685	42	1
4684	42	1
4683	42	1
4682	42	1
4681	42	1
4680	42	1
4679	42	1
4678	42	1
4677	42	1
4676	34	1
4675	42	1
4674	42	1
4673	42	1
4672	42	1
4671	42	1
4670	42	1
4669	42	1
4668	42	1
4667	42	1
4666	42	1
4665	42	1
4664	42	1
4663	42	1
4662	42	1
4661	42	1
4660	42	1
4659	42	1
4658	42	1
4657	42	1
4656	42	1
4655	42	1
4654	42	1
4653	42	1
4652	42	1
4651	42	1
4650	42	1
4649	42	1
4648	42	1
4647	42	1
4646	42	1
4645	39	1
4644	42	1
4643	42	1
4642	42	1
4641	39	1
4640	42	1
4639	42	1
4638	42	1
4637	42	1
4636	42	1
4635	42	1
4634	42	1
4633	42	1
4632	42	1
4631	42	1
4630	42	1
4629	42	1
4628	42	1
4627	42	1
4626	42	1
4625	42	1
4624	42	1
4623	42	1
4622	42	1
4621	42	1
4620	39	1
4619	42	1
4618	42	1
4617	42	1
4616	42	1
4615	42	1
4614	42	1
4613	42	1
4612	42	1
4611	42	1
4610	42	1
4609	42	1
4608	42	1
4607	42	1
4606	42	1
4605	42	1
4604	42	1
4603	42	1
4602	42	1
4601	42	1
4600	42	1
4599	42	1
4598	42	1
4597	42	1
4596	42	1
4595	42	1
4594	42	1
4593	42	1
4592	42	1
4591	42	1
4590	42	1
4589	42	1
4588	37	1
4587	37	1
4586	40	1
4585	40	1
4584	40	1
4583	40	1
4582	40	1
4581	40	1
4580	40	1
4579	40	1
4578	35	1
4577	35	1
4576	40	1
4575	40	1
4574	40	1
4573	40	1
4572	40	1
4571	40	1
4570	40	1
4569	40	1
4568	40	1
4567	37	1
4566	40	1
4565	40	1
4564	40	1
4563	40	1
4562	40	1
4561	40	1
4560	40	1
4559	40	1
4558	40	1
4557	40	1
4556	35	1
4555	37	1
4554	37	1
4553	40	1
4552	40	1
4551	40	1
4550	40	1
4549	37	1
4548	37	1
4547	40	1
4546	40	1
4545	40	1
4544	37	1
4543	37	1
4542	37	1
4541	37	1
4540	40	1
4539	40	1
4538	40	1
4537	40	1
4536	40	1
4535	40	1
4534	40	1
4533	40	1
4532	40	1
4531	40	1
4531	40	1
4530	40	1
4529	40	1
4528	40	1
4527	40	1
4526	40	1
4525	40	1
4524	40	1
4523	40	1
4522	40	1
4521	37	1
4520	37	1
4519	35	1
4518	35	1
4517	35	1
4516	40	1
4515	37	1
4514	37	1
4513	40	1
4512	40	1
4511	40	1
4510	40	1
4509	40	1
4508	42	1
4507	42	1
4506	42	1
4505	42	1
4504	42	1
4503	42	1
4502	39	1
4501	39	1
4500	39	1
4499	42	1
4498	39	1
4497	39	1
4496	42	1
4495	40	1
4494	40	1
4493	40	1
4492	40	1
4491	40	1
4490	40	1
4489	40	1
4488	40	1
4487	40	1
4486	40	1
4485	40	1
4484	40	1
4483	40	1
4482	40	1
4481	40	1
4480	40	1
4479	40	1
4478	40	1
4477	40	1
4476	37	1
4475	37	1
4474	42	1
4473	42	1
4472	42	1
4471	34	1
4470	35	1
