runnum,runtype
4669,42
4668,42
4667,42
4666,42
4665,42
4664,42
4663,42
4662,42
4661,42
4660,42
4659,42
4658,42
4657,42
4656,42
4655,42
4654,42
4653,42
4652,42
4651,42
4650,42
4649,42
4648,42
4647,42
4646,42
4645,39
4644,42
4643,42
4642,42
4641,39
4640,42
4639,42
4638,42
4637,42
4636,42
4635,42
4634,42
4633,42
4632,42
4631,42
4630,42
4629,42
4628,42
4627,42
4626,42
4625,42
4624,42
4623,42
4622,42
4621,42
4620,39
4619,42
4618,42
4617,42
4616,42
4615,42
4614,42
4613,42
4612,42
4611,42
4610,42
4609,42
4608,42
4607,42
4606,42
4605,42
4604,42
4603,42
4602,42
4601,42
4600,42
4599,42
4598,42
4597,42
4596,42
4595,42
4594,42
4593,42
4592,42
4591,42
4590,42
4589,42
4588,37
4587,37
4586,40
4585,40
4584,40
4583,40
4582,40
4581,40
4580,40
4579,40
4578,35
4577,35
4576,40
4575,40
4574,40
4573,40
4572,40
4571,40
4570,40
4569,40
4568,40
4567,37
4566,40
4565,40
4564,40
4563,40
4562,40
4561,40
4560,40
4559,40
4558,40
4557,40
4556,35
4555,37
4554,37
4553,40
4552,40
4551,40
4550,40
4549,37
4548,37
4547,40
4546,40
4545,40
4544,37
4543,37
4542,37
4541,37
4540,40
4539,40
4538,40
4537,40
4536,40
4535,40
4534,40
4533,40
4532,40
4531,40
4531,40
4530,40
4529,40
4528,40
4527,40
4526,40
4525,40
4524,40
4523,40
4522,40
4521,37
4520,37
4519,35
4518,35
4517,35
4516,40
4515,37
4514,37
4513,40
4512,40
4511,40
4510,40
4509,40
4508,42
4507,42
4506,42
4505,42
4504,42
4503,42
4502,39
4501,39
4500,39
4499,42
4498,39
4497,39
4496,42
4495,40
4494,40
4493,40
4492,40
4491,40
4490,40
4489,40
4488,40
4487,40
4486,40
4485,40
4484,40
4483,40
4482,40
4481,40
4480,40
4479,40
4478,40
4477,40
4476,37
4475,37
4474,42
4473,42
4472,42
4471,34
4470,35
4469,37
4468,40
4467,40
4466,40
4465,37
4464,40
4463,40
4463,40
4462,40
4461,40
4460,40
4459,40
4458,40
4457,37
4456,35
4455,35
4454,35
4453,42
4452,42
4451,37
4450,34
4449,34
4448,34
4447,34
4446,34
4445,34
4444,34
4443,34
4442,37
4441,34
4440,34
4439,34
4438,34
4437,34
4436,37
4435,37
4434,34
4433,34
4432,34
4431,34
4430,34
4429,34
4428,34
4427,34
4426,34
4425,37
4424,34
4423,37
4422,34
4421,34
4420,34
4419,34
4418,39
4417,37
4416,39
4415,39
4414,37
4413,37
4412,37
4411,39
4410,39
4409,39
4408,37
4407,37
4406,34
4405,37
4404,34
4403,34
4402,34
4401,34
4400,34
4399,34
4398,34
4397,34
4396,37
4395,34
4394,34
4393,37
4392,37
4391,37
4390,34
4389,34
4388,37
4387,37
4386,34
4385,34
4384,34
4383,37
4382,34
4381,34
4380,42
4379,42
4378,42
4377,39
4376,39
4375,39
4374,34
4373,37
4372,42
4371,37
4370,34
4369,34
4368,34
4367,42
4366,42
4365,42
4364,42
4363,42
4362,34
4361,42
4360,42
4359,42
4358,34
4357,34
4356,34
4355,37
4354,34
4353,34
4352,37
4351,34
4350,34
4349,34
4348,39
4347,39
4346,34
4345,34
4344,34
4343,35
4342,37
4341,37
4340,37
4339,34
4338,34
4337,34
4336,34
4335,34
4334,34
4333,34
4332,42
4331,34
4330,34
4329,34
4328,42
4327,42
4326,42
4325,42
4324,34
4323,34
4322,37
4321,34
4320,37
4319,34
4318,37
4317,34
4316,34
4315,37
4314,34
4313,37
4312,34
4311,34
4310,34
4309,42
4308,42
4307,42
4306,34
4305,34
4304,34
4303,34
4302,34
4301,41
4300,41
4299,41
4298,41
4297,34
4296,36
4295,36
4294,36
4293,36
4292,36
4291,36
4290,36
4289,36
4288,36
4287,34
4286,34
4285,39
4284,34
4283,36
4282,36
4281,36
4280,36
4279,36
4279,36
4278,34
4277,37
4276,36
4275,36
4274,36
4273,34
4272,39
4271,39
4270,39
4269,34
4268,34
4267,36
4266,36
4265,34
4264,36
4263,36
4262,36
4261,34
4260,36
4259,36
4258,36
4257,34
4256,37
4255,34
4254,34
4253,34
4252,34
4251,34
4250,34
4249,39
4248,34
4247,34
4246,34
4245,34
4244,37
4243,34
4242,34
4241,34
4240,37
4239,34
4238,34
4237,34
4236,34
4235,37
4234,36
4233,36
4232,36
4231,36
4230,36
4229,34
4228,34
4227,37
4226,34
4225,34
4224,34
4223,34
4222,34
4221,37
4220,37
4219,34
4218,34
4217,34
4216,34
4215,34
4214,37
4213,34
4212,37
4211,37
4210,34
4209,36
4208,34
4207,37
4206,36
4205,37
4204,35
4203,35
4202,37
4201,37
4200,34
4199,37
4198,37
4197,34
4196,39
4195,34
4194,34
4193,34
4192,34
4191,34
4190,36
4189,34
4188,39
4187,39
4186,39
4185,39
4184,39
4183,39
4182,39
4181,40
4180,39
4179,40
4178,40
4177,40
4176,37
4175,37
4174,37
4173,39
4172,39
4171,39
4170,39
4169,39
4168,39
4167,39
4166,37
4165,38
4164,39
4163,39
4162,39
4161,39
4160,39
4159,39
4158,39
4157,39
4156,39
4155,39
4154,39
4153,39
4153,39
4152,39
4151,39
4150,39
4149,39
4148,38
4147,35
4146,35
4145,39
4144,39
4143,40
4142,40
4142,40
4141,39
4140,39
4139,39
4138,39
4137,39
4136,39
4135,39
4134,39
4133,39
4132,39
4131,39
4130,39
4129,34
4128,34
4127,34
4126,34
4125,34
4124,34
4123,34
4122,34
4121,34
4120,34
4119,34
4118,34
4117,34
4116,34
4115,34
4114,34
4113,34
4112,34
4111,34
4110,38
4109,35
4108,35
4107,38
4106,34
4105,34
4104,34
4103,34
4102,34
4101,34
4100,34
4099,34
4098,34
4097,34
4096,34
4095,34
4094,34
4093,34
4092,34
4091,34
4090,34
4089,35
4088,35
4087,34
4086,34
4085,34
4084,34
4083,34
4082,34
4081,34
4080,34
4079,37
4078,38
4077,34
4076,34
4075,34
4074,37
4073,37
4072,34
4071,34
4071,34
4070,34
4069,34
4069,34
4068,34
4067,34
4066,34
4065,34
4064,34
4063,37
4062,37
4061,37
4060,37
4059,37
4058,37
4057,37
4056,37
4055,34
4054,34
4053,37
4052,37
4051,38
4050,34
4049,34
4048,34
4047,33
4046,34
4045,34
4044,33
4043,33
4042,34
4041,34
4040,34
4039,34
4038,34
4037,34
4036,34
4035,34
4034,34
4033,34
4032,34
4031,34
4030,34
4029,34
4028,34
4027,34
4026,34
4025,34
4024,34
4023,34
4022,34
4021,34
4020,34
4019,34
4018,34
4017,34
4016,34
4015,34
4014,34
4013,34
4012,34
4011,34
4010,34
4009,34
4008,34
4007,34
4006,34
4005,34
4004,33
4003,33
4002,33
4001,34
